idChef,nombre,fechaNacimiento,nacionalidad
1,Jose Martin,1989-09-29,Greece
2,Karen Mitchell,1998-10-18,Syrian Arab Republic
3,Erica Johnson,1988-12-07,Turkey
4,Ana Dillon,1993-09-07,Belgium
5,Kristina Porter,1985-02-25,South Africa
6,Ashley Myers,1972-02-07,Uruguay
7,Brittany Smith,1995-07-20,Hong Kong
8,Nancy Diaz,1974-07-26,Dominican Republic
9,Gregory Carter,1972-04-12,Sudan
10,Maria Palmer,1995-08-31,Timor-Leste
11,Michelle Benitez,1979-07-18,Nicaragua
12,Charles Chase,1987-01-12,French Southern Territories
13,Hannah Allen,1990-08-09,Finland
14,Mary Barrett,1975-01-14,Montserrat
15,Jacob Baker,1983-09-07,United States Virgin Islands
16,Brittany Ewing,2000-09-13,Brunei Darussalam
17,Richard Curtis,1993-11-24,Paraguay
18,Cody Clark,1966-10-19,Panama
19,John Williams,1999-02-23,Sweden
20,Thomas Thomas,1975-10-25,Hong Kong
21,Jacqueline Crosby,1994-07-17,Saint Barthelemy
22,Barry Brandt,1987-04-03,Sudan
23,Austin Hernandez,1970-12-03,Denmark
24,Brittany Bailey,1966-08-11,North Macedonia
25,Kyle Barton,1986-01-12,Eritrea
26,Rebecca Gonzales,1978-03-02,Kenya
27,Troy Dougherty,1971-12-28,Greenland
28,Kevin Burton,1997-06-06,Brunei Darussalam
29,Daniel Phillips,1997-12-30,Nepal
30,Cindy Rodriguez,1967-07-05,Algeria
31,Stephanie Dodson,1982-09-03,Gabon
32,Stephanie Crawford,1981-11-13,Albania
33,Christopher Brown,1970-02-09,Egypt
34,Andrew Shah,1999-06-05,Russian Federation
35,Robert Cook,1982-07-20,Ethiopia
36,Joann Jackson,1971-11-29,Croatia
37,Chris Barker,1971-04-12,Liberia
38,Adam Mclaughlin,1979-01-06,Reunion
39,Ian Mendez,1994-07-17,Guinea-Bissau
40,Lauren Newton,1981-06-02,Malaysia
41,Michael Green,1967-07-30,Maldives
42,Paul Evans,1970-08-06,Guernsey
43,Kelly Calhoun,1981-11-12,Cote d'Ivoire
44,Patricia Benson,1983-11-06,Austria
45,Amanda Rodriguez,1986-07-10,Netherlands
46,Melinda Lucas,2000-06-20,Palestinian Territory
47,David Hansen,1987-03-09,Botswana
48,Thomas Romero,2001-03-01,Cape Verde
49,Melanie Carey,1978-08-15,American Samoa
50,Alexander Castillo DVM,1969-07-22,Saint Barthelemy
51,Anthony Vaughan,1993-08-07,Dominica
52,Ashley Gonzalez,1983-11-06,Micronesia
53,Vicki Sullivan,1996-08-20,Slovenia
54,James Martinez,1976-12-11,United States Minor Outlying Islands
55,Wanda Thomas,1982-09-12,Moldova
56,Edwin Cherry,1974-09-09,Pakistan
57,Joseph Morales,1984-06-21,Bhutan
58,Taylor Kramer,1978-08-25,Dominican Republic
59,Ronald Mccullough,1969-02-12,Puerto Rico
60,David Cuevas,1972-04-27,Honduras
61,Michael Cohen,1995-10-04,Mayotte
62,Michelle Kelley,1976-01-25,United States Minor Outlying Islands
63,Jason Cohen,1995-12-24,Seychelles
64,James Anderson,1981-08-08,Somalia
65,Michael Keller,1979-09-07,Costa Rica
66,Steven Morris,1991-09-22,French Polynesia
67,Patricia Wood,1972-03-10,American Samoa
68,Brandon Carpenter,1985-10-17,Croatia
69,Robert Phillips,1994-09-27,Pakistan
70,Mary Ray,1978-03-04,Guatemala
71,Jesse Burton,1999-11-14,Uruguay
72,Joshua Olson,1993-03-26,Ethiopia
73,Justin Carter,1971-01-22,Ethiopia
74,Brooke Hansen,1978-08-06,Singapore
75,Victoria Stevenson,1995-06-08,Croatia
76,Todd Mclaughlin,1967-11-16,Kuwait
77,Brandon Sanchez,2000-07-21,Bangladesh
78,Jason Richardson,1992-08-09,Sweden
79,Ashley Thomas,1968-11-23,Saint Kitts and Nevis
80,Timothy Weber,1970-12-21,Panama
81,Natalie Rojas,1977-03-26,Papua New Guinea
82,Ana Padilla,1993-11-28,Micronesia
83,Chad Odom,1986-01-13,Senegal
84,Robert Coleman,1998-10-18,Suriname
85,Cheryl Morris,1982-10-27,Maldives
86,Lance Moore,1987-10-22,Maldives
87,Monique Patterson,1981-03-20,Peru
88,Benjamin Munoz,1968-04-11,United Arab Emirates
89,Monica Adams,1991-12-15,Sao Tome and Principe
90,Christina Brown,1968-01-28,Jersey
91,John Baker,1984-09-05,Haiti
92,Dakota Mitchell,1972-09-08,Mauritania
93,Kylie Mendoza,1982-11-06,Falkland Islands (Malvinas)
94,Jason Rodriguez,1975-09-07,Pakistan
95,Sherry Nguyen,1993-07-26,Russian Federation
96,Robin Burns,1985-04-30,Niue
97,Mary Hamilton,1997-12-26,Fiji
98,Wesley Nicholson,1992-01-02,Falkland Islands (Malvinas)
99,Christopher Anthony,1981-10-06,Tuvalu
100,Sarah Savage,1977-12-13,Congo
